iter	Logloss
0	0.6262693103
1	0.5779365473
2	0.5272646573
3	0.4927363123
4	0.4570360504
5	0.4227683241
6	0.3995189357
7	0.3758466156
8	0.3542122252
9	0.3384159815
10	0.3235151211
11	0.3088047482
12	0.2972491547
13	0.2872159516
14	0.2779320817
15	0.270508242
16	0.2643622656
17	0.2574866304
18	0.2495841825
19	0.2435740417
20	0.2391908168
21	0.2321804008
22	0.2268267284
23	0.224030256
24	0.2202039733
25	0.2167747181
26	0.2149056922
27	0.2130912405
28	0.2114243696
29	0.209217506
30	0.2065695601
31	0.2048878312
32	0.2036712678
33	0.2025897034
34	0.2003652713
35	0.1985463436
36	0.1975495446
37	0.1959349902
38	0.1942159974
39	0.1937582611
40	0.1929859781
41	0.1918418446
42	0.1913345467
43	0.1909652059
44	0.1903047581
45	0.1890067725
46	0.1881835706
47	0.1871361139
48	0.1867766764
49	0.1862902084
50	0.1855186406
51	0.1851447602
52	0.1845989934
53	0.1837164638
54	0.1833438639
55	0.1826150474
56	0.1824056931
57	0.1815016731
58	0.181183455
59	0.1808932508
60	0.180362381
61	0.1798227397
62	0.1792784925
63	0.1790553248
64	0.1788557338
65	0.1786153251
66	0.1784633443
67	0.1782001539
68	0.1780300138
69	0.1774506589
70	0.1772309019
71	0.1768961533
72	0.176692495
73	0.176210385
74	0.1757972745
75	0.1755131687
76	0.175307055
77	0.1750267668
78	0.1747292341
79	0.1745610673
80	0.1743955295
81	0.1741605697
82	0.173868942
83	0.1735794954
84	0.1733896399
85	0.1732483717
86	0.1731239033
87	0.1729201553
88	0.1726396706
89	0.1723750957
90	0.1722268216
91	0.172150474
92	0.172011562
93	0.1717576355
94	0.1716220864
95	0.17152323
96	0.171440051
97	0.1713314616
98	0.1712556844
99	0.1711007178
100	0.1709541378
101	0.1708101931
102	0.1706570985
103	0.170505916
104	0.170314647
105	0.1701698672
106	0.170044791
107	0.1699381258
108	0.169779783
109	0.1696755497
110	0.1695400706
111	0.1694160557
112	0.1693475945
113	0.1692256583
114	0.1691411496
115	0.1690079407
116	0.1687587351
117	0.1686061049
118	0.1684953897
119	0.1683198834
120	0.1682177589
121	0.1681007234
122	0.1680063701
123	0.1680045844
124	0.1678903608
125	0.1678031919
126	0.1676940247
127	0.1675797054
128	0.1673983875
129	0.1672741894
130	0.1671951121
131	0.1671262799
132	0.1670076607
133	0.1669009821
134	0.1668126984
135	0.1667265968
136	0.1666592618
137	0.1665881692
138	0.1664363189
139	0.1663788704
140	0.1662516614
141	0.1661699316
142	0.1660746702
143	0.1659922459
144	0.1659416226
145	0.1658360646
146	0.1657577716
147	0.1656443466
148	0.1655301668
149	0.165485929
150	0.1652989398
151	0.1652061595
152	0.1651398715
153	0.1650309314
154	0.1649249219
155	0.164717146
156	0.1646527283
157	0.1645102897
158	0.1644170566
159	0.1643578966
160	0.1642717104
161	0.1642270407
162	0.1641734048
163	0.1641300484
164	0.1640755129
165	0.1639765549
166	0.1638776949
167	0.1638163182
168	0.16370575
169	0.1636130804
170	0.1636115945
171	0.1635545212
172	0.1634914041
173	0.1633767339
174	0.1632850796
175	0.1631805521
176	0.1630505005
177	0.1629596217
178	0.1628728383
179	0.1627541504
180	0.1626946949
181	0.1626214816
182	0.1625177244
183	0.1624111704
184	0.1623378264
185	0.1622241697
186	0.1621333044
187	0.1620491582
188	0.1619297017
189	0.1618195117
190	0.1617016315
191	0.1616093709
192	0.1615620242
193	0.1614478537
194	0.1613328906
195	0.1613226952
196	0.1611635362
197	0.161114209
198	0.1610512653
199	0.1609711869
200	0.1608315703
201	0.1607745048
202	0.1607147975
203	0.1606200528
204	0.1605836693
205	0.1605165588
206	0.1604708018
207	0.1603944486
208	0.1602663767
209	0.1602122594
210	0.160098025
211	0.1600256147
212	0.1599213115
213	0.1598161821
214	0.1597429876
215	0.1596745739
216	0.1596022252
217	0.1595586833
218	0.1594684776
219	0.1593845404
220	0.159317579
221	0.1592665378
222	0.1592151929
223	0.1591585319
224	0.1590694239
225	0.1589987749
226	0.1589606941
227	0.1589194431
228	0.1588411074
229	0.1587448402
230	0.1587104662
231	0.1585756475
232	0.1585447385
233	0.158494263
234	0.1584056898
235	0.1583495823
236	0.1583026081
237	0.158226661
238	0.1581714856
239	0.1580910857
240	0.1580218632
241	0.1579751024
242	0.1578636372
243	0.1577869549
244	0.1577561852
245	0.1576959164
246	0.1576579992
247	0.1576107968
248	0.157558249
249	0.1575284135
250	0.1574982945
251	0.1574397616
252	0.1573575143
253	0.1572812035
254	0.1572387739
255	0.1571805684
256	0.157113092
257	0.1570594177
258	0.1570235191
259	0.1569220537
260	0.1568181025
261	0.1567514599
262	0.1566278469
263	0.1565679077
264	0.1565123064
265	0.1564462136
266	0.1563788573
267	0.1563294948
268	0.1562588975
269	0.1561763332
270	0.1561352502
271	0.1561129802
272	0.1560358994
273	0.1559774447
274	0.1559141358
275	0.1558720182
276	0.1557887627
277	0.1556927715
278	0.1556278744
279	0.1555668252
280	0.1554891842
281	0.1554331129
282	0.1553736887
283	0.1553299531
284	0.1552703031
285	0.1551909259
286	0.1551251819
287	0.1550393117
288	0.1550181691
289	0.1548487419
290	0.1547831411
291	0.1547427173
292	0.1546788296
293	0.1546175643
294	0.1545709163
295	0.1545224367
296	0.1544371343
297	0.1543269298
298	0.1542906915
299	0.1542537688
300	0.1541847658
301	0.1541146867
302	0.1540788905
303	0.1539974666
304	0.1539476413
305	0.1538434566
306	0.1537944604
307	0.1536655277
308	0.1536470145
309	0.1535462583
310	0.1534810739
311	0.1533957242
312	0.1533329262
313	0.1532690723
314	0.153225814
315	0.1531696625
316	0.1530593859
317	0.1530260762
318	0.1529599231
319	0.1529168296
320	0.1528825484
321	0.1527629067
322	0.1526905178
323	0.1526349409
324	0.1526002509
325	0.1525412286
326	0.1524974712
327	0.1524218664
328	0.1523829858
329	0.1523242117
330	0.1522717819
331	0.1522006029
332	0.1521437904
333	0.1520713984
334	0.1520032405
335	0.1519665288
336	0.1518963743
337	0.1518135986
338	0.1517737859
339	0.1517239721
340	0.1516690371
341	0.1516174208
342	0.151594179
343	0.1515540779
344	0.1514995276
345	0.1514358404
346	0.151387826
347	0.151359921
348	0.1512857362
349	0.1512046739
350	0.151136036
351	0.151033113
352	0.1509729114
353	0.1509505528
354	0.1509118447
355	0.1508366287
356	0.1507777678
357	0.1507504192
358	0.1506766221
359	0.1505935845
360	0.1505588392
361	0.1505305544
362	0.1505027831
363	0.1504783356
364	0.1504554542
365	0.1504027202
366	0.1503425464
367	0.1502931632
368	0.1501863812
369	0.1501705988
370	0.1501131631
371	0.1500987428
372	0.1500413966
373	0.1500063837
374	0.1499838703
375	0.1499321722
376	0.1498836591
377	0.1498242694
378	0.1497795417
379	0.1496960327
380	0.1496183562
381	0.1495918286
382	0.1495621628
383	0.1495373911
384	0.1494985299
385	0.1494118042
386	0.1493897385
387	0.149322751
388	0.149305337
389	0.1492929903
390	0.1492751751
391	0.1492156265
392	0.1492044745
393	0.1491565799
394	0.1491310473
395	0.1490716264
396	0.1490170896
397	0.1489714484
398	0.1489454293
399	0.1488717434
400	0.1488040975
401	0.1487357764
402	0.1486535996
403	0.1485635578
404	0.1484980734
405	0.1484646048
406	0.1484049435
407	0.1483443952
408	0.148308625
409	0.1482603984
410	0.1482328143
411	0.1481719514
412	0.1481065093
413	0.1480908957
414	0.148065886
415	0.1480286171
416	0.1479864229
417	0.1479440405
418	0.147902306
419	0.1478154012
420	0.1477983017
421	0.1476894105
422	0.1476318763
423	0.1475960208
424	0.1475657645
425	0.1475386232
426	0.1474635437
427	0.1473824035
428	0.1473295508
429	0.1472771714
430	0.1472185709
431	0.1471644604
432	0.1471113635
433	0.1470662821
434	0.14701139
435	0.1469671155
436	0.146892783
437	0.1468740861
438	0.1468261915
439	0.146801159
440	0.1467647581
441	0.1467064936
442	0.1466465736
443	0.1465917
444	0.1465703717
445	0.146532084
446	0.1465030686
447	0.1464334171
448	0.1463905356
449	0.1463257724
450	0.1462549864
451	0.1461713543
452	0.1461294064
453	0.146081872
454	0.146010884
455	0.1459547513
456	0.1458916922
