iter	Passed	Remaining
0	6	6776
1	13	6563
2	19	6575
3	27	6758
4	34	6790
5	40	6774
6	47	6771
7	54	6763
8	61	6743
9	67	6715
10	74	6696
11	81	6683
12	87	6662
13	94	6634
14	101	6635
15	107	6617
16	114	6603
17	120	6586
18	127	6567
19	133	6551
20	139	6525
21	146	6519
22	153	6501
23	160	6506
24	166	6506
25	173	6508
26	180	6494
27	186	6478
28	193	6462
29	199	6454
30	206	6443
31	212	6439
32	219	6434
33	226	6423
34	232	6413
35	239	6411
36	246	6407
37	252	6401
38	259	6399
39	266	6391
40	272	6381
41	279	6379
42	286	6368
43	292	6361
44	299	6352
45	305	6342
46	312	6335
47	318	6326
48	326	6327
49	332	6321
50	339	6313
51	345	6307
52	352	6302
53	359	6302
54	366	6293
55	372	6284
56	379	6275
57	386	6274
58	393	6275
59	400	6273
60	407	6269
61	413	6260
62	420	6250
63	426	6243
64	433	6237
65	440	6231
66	447	6225
67	453	6222
68	460	6218
69	467	6208
70	473	6201
71	480	6191
72	486	6184
73	493	6180
74	500	6174
75	507	6167
76	514	6162
77	520	6157
78	527	6153
79	534	6145
80	540	6135
81	547	6127
82	554	6124
83	560	6117
84	567	6113
85	574	6106
86	581	6099
87	588	6098
88	594	6089
89	601	6083
90	607	6072
91	614	6068
92	621	6062
93	628	6054
94	634	6043
95	641	6039
96	648	6032
97	654	6025
98	661	6022
99	668	6015
100	675	6008
101	681	6002
102	688	5995
103	694	5985
104	701	5979
105	708	5972
106	714	5963
107	721	5956
108	727	5950
109	735	5946
110	741	5939
111	748	5935
112	755	5927
113	761	5917
114	767	5908
115	774	5898
116	780	5892
117	787	5886
118	794	5878
119	800	5872
120	807	5863
121	813	5856
122	820	5847
123	826	5841
124	833	5835
125	840	5827
126	846	5820
127	853	5813
128	859	5803
129	865	5794
130	872	5788
131	878	5780
132	885	5774
133	892	5767
134	899	5764
135	906	5757
136	913	5751
137	919	5745
138	926	5740
139	933	5735
140	940	5730
141	948	5728
142	955	5727
143	963	5727
144	970	5725
145	978	5723
146	985	5720
147	993	5717
148	1000	5714
149	1008	5712
150	1015	5708
151	1022	5705
152	1029	5699
153	1036	5694
154	1043	5689
155	1050	5682
156	1057	5676
157	1064	5671
158	1071	5667
159	1078	5662
160	1085	5657
161	1092	5651
162	1099	5646
163	1106	5641
164	1113	5635
165	1120	5631
166	1127	5624
167	1134	5617
168	1140	5608
169	1145	5591
170	1151	5583
171	1158	5575
172	1164	5569
173	1171	5561
174	1177	5553
175	1184	5546
176	1191	5538
177	1197	5530
178	1204	5525
179	1211	5519
180	1218	5513
181	1225	5506
182	1231	5499
183	1238	5491
184	1244	5482
185	1251	5476
186	1258	5469
187	1264	5461
188	1271	5454
189	1277	5448
190	1284	5440
191	1291	5433
192	1297	5425
193	1304	5418
194	1310	5410
195	1317	5405
196	1324	5399
197	1331	5392
198	1337	5385
199	1344	5377
200	1350	5370
201	1357	5362
202	1363	5354
203	1370	5347
204	1377	5340
205	1383	5333
206	1390	5326
207	1396	5318
208	1403	5311
209	1410	5304
210	1416	5296
211	1423	5290
212	1430	5283
213	1436	5277
214	1443	5271
215	1450	5263
216	1457	5257
217	1464	5251
218	1470	5244
219	1477	5237
220	1483	5229
221	1490	5222
222	1496	5215
223	1503	5208
224	1510	5201
225	1517	5195
226	1523	5188
227	1530	5181
228	1537	5174
229	1543	5168
230	1550	5162
231	1557	5156
232	1564	5150
233	1571	5144
234	1578	5137
235	1584	5129
236	1591	5122
237	1597	5115
238	1604	5107
239	1611	5101
240	1617	5095
241	1624	5088
242	1633	5089
243	1640	5083
244	1647	5077
245	1654	5070
246	1660	5063
247	1667	5055
248	1673	5048
249	1680	5041
250	1687	5035
251	1694	5029
252	1701	5023
253	1707	5016
254	1714	5009
255	1721	5002
256	1727	4995
257	1734	4987
258	1740	4979
259	1746	4972
260	1753	4964
261	1760	4958
262	1767	4951
263	1773	4944
264	1780	4938
265	1787	4932
266	1794	4925
267	1800	4918
268	1807	4911
269	1814	4904
270	1820	4897
271	1827	4890
272	1833	4883
273	1840	4876
274	1847	4869
275	1854	4863
276	1860	4857
277	1867	4850
278	1875	4846
279	1882	4840
280	1888	4833
281	1895	4826
282	1902	4819
283	1908	4812
284	1915	4805
285	1922	4799
286	1929	4792
287	1936	4786
288	1943	4780
289	1950	4775
290	1957	4769
291	1964	4763
292	1971	4758
293	1979	4752
294	1986	4746
295	1993	4740
296	2000	4735
297	2007	4727
298	2013	4720
299	2019	4713
300	2026	4706
301	2033	4699
302	2039	4692
303	2046	4685
304	2053	4679
305	2060	4672
306	2066	4665
307	2073	4658
308	2080	4652
309	2086	4645
310	2093	4637
311	2100	4631
312	2107	4624
313	2114	4619
314	2120	4612
315	2127	4605
316	2134	4598
317	2141	4592
318	2148	4586
319	2155	4580
320	2161	4572
321	2168	4566
322	2175	4559
323	2181	4552
324	2188	4545
325	2195	4539
326	2202	4532
327	2209	4525
328	2215	4519
329	2222	4512
330	2229	4505
331	2235	4498
332	2242	4491
333	2249	4485
334	2256	4478
335	2262	4471
336	2269	4465
337	2276	4457
338	2282	4450
339	2289	4444
340	2296	4437
341	2302	4430
342	2309	4423
343	2316	4417
344	2322	4410
345	2330	4404
346	2336	4397
347	2343	4390
348	2350	4384
349	2357	4377
350	2364	4371
351	2370	4364
352	2377	4357
353	2384	4350
354	2390	4343
355	2397	4337
356	2404	4331
357	2411	4324
358	2417	4317
359	2424	4310
360	2430	4302
361	2438	4297
362	2445	4290
363	2451	4283
364	2458	4276
365	2465	4270
366	2471	4262
367	2477	4255
368	2484	4248
369	2491	4242
370	2498	4235
371	2504	4228
372	2511	4222
373	2518	4215
374	2524	4208
375	2531	4201
376	2538	4194
377	2545	4188
378	2551	4181
379	2558	4173
380	2564	4166
381	2571	4159
382	2578	4153
383	2585	4146
384	2592	4140
385	2598	4133
386	2605	4127
387	2611	4119
388	2618	4112
389	2625	4106
390	2631	4099
391	2638	4092
392	2644	4085
393	2651	4078
394	2658	4071
395	2664	4064
396	2671	4057
397	2677	4050
398	2684	4043
399	2690	4036
400	2698	4030
401	2705	4024
402	2712	4018
403	2720	4013
404	2727	4006
405	2734	4000
406	2741	3993
407	2747	3987
408	2754	3980
409	2761	3974
410	2768	3967
411	2775	3961
412	2782	3954
413	2788	3947
414	2795	3940
415	2801	3933
416	2808	3927
417	2815	3920
418	2822	3913
419	2829	3906
420	2835	3899
421	2842	3892
422	2848	3885
423	2855	3879
424	2862	3872
425	2869	3865
426	2875	3859
427	2882	3852
428	2889	3845
429	2895	3838
430	2902	3831
431	2909	3825
432	2917	3820
433	2924	3813
434	2931	3807
435	2939	3801
436	2945	3795
437	2952	3788
438	2959	3782
439	2966	3775
440	2974	3769
441	2981	3763
442	2987	3756
443	2993	3749
444	3000	3742
445	3007	3735
